Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2025-12-04,400.0,406.6499938964844,398.1499938964844,401.54998779296875,401.54998779296875,4482233,SWIGGY
2025-12-05,397.54998779296875,404.8999938964844,393.1000061035156,394.3999938964844,394.3999938964844,3225832,SWIGGY
2025-12-08,393.79998779296875,394.8999938964844,380.79998779296875,385.8999938964844,385.8999938964844,4167603,SWIGGY
2025-12-09,384.0,400.0,380.1499938964844,398.04998779296875,398.04998779296875,8414782,SWIGGY
2025-12-10,395.0,406.8999938964844,390.1000061035156,395.5,395.5,12642146,SWIGGY
2025-12-11,397.0,407.8999938964844,396.95001220703125,401.20001220703125,401.20001220703125,15444380,SWIGGY
2025-12-12,404.75,421.6000061035156,403.3999938964844,416.5,416.5,27004727,SWIGGY
2025-12-15,417.95001220703125,417.95001220703125,409.3999938964844,413.3999938964844,413.3999938964844,9870619,SWIGGY
2025-12-16,410.0,410.0,389.1499938964844,396.25,396.25,24398408,SWIGGY
2025-12-17,395.0,406.0,392.3500061035156,398.95001220703125,398.95001220703125,15208618,SWIGGY
2025-12-18,400.0,415.3999938964844,397.3500061035156,410.70001220703125,410.70001220703125,68636561,SWIGGY
2025-12-19,420.0,420.0,404.25,412.20001220703125,412.20001220703125,26002051,SWIGGY
2025-12-22,410.0,412.20001220703125,404.70001220703125,406.3999938964844,406.3999938964844,6158867,SWIGGY
2025-12-23,406.3999938964844,406.8999938964844,400.1499938964844,405.04998779296875,405.04998779296875,4643245,SWIGGY
2025-12-24,404.3999938964844,406.6000061035156,398.45001220703125,400.04998779296875,400.04998779296875,2735627,SWIGGY
2025-12-26,394.0,396.3999938964844,391.0,391.8999938964844,391.8999938964844,2814694,SWIGGY
2025-12-29,393.95001220703125,406.6000061035156,391.04998779296875,394.8500061035156,394.8500061035156,6448408,SWIGGY
2025-12-30,395.0,399.70001220703125,386.54998779296875,394.04998779296875,394.04998779296875,7583146,SWIGGY
2025-12-31,395.45001220703125,396.0,385.0,386.25,386.25,7184388,SWIGGY
2026-01-01,389.0,393.8999938964844,386.75,390.70001220703125,390.70001220703125,5158253,SWIGGY
2026-01-02,390.70001220703125,390.70001220703125,381.0,387.20001220703125,387.20001220703125,6161772,SWIGGY
2026-01-05,387.20001220703125,390.25,377.0,378.3999938964844,378.3999938964844,8100279,SWIGGY
2026-01-06,378.3999938964844,379.0,356.3500061035156,361.0,361.0,28274163,SWIGGY
2026-01-07,362.8999938964844,366.5,359.5,361.8999938964844,361.8999938964844,10461943,SWIGGY
2026-01-08,362.8999938964844,363.8999938964844,351.3500061035156,352.8500061035156,352.8500061035156,12496904,SWIGGY
2026-01-09,352.8500061035156,358.1499938964844,349.5,351.6499938964844,351.6499938964844,11237565,SWIGGY
2026-01-12,351.70001220703125,352.29998779296875,342.0,349.6000061035156,349.6000061035156,14808886,SWIGGY
2026-01-13,350.3999938964844,355.54998779296875,345.1499938964844,350.3500061035156,350.3500061035156,10758860,SWIGGY
2026-01-14,348.1000061035156,348.6000061035156,341.29998779296875,347.04998779296875,347.04998779296875,10277865,SWIGGY
2026-01-15,347.04998779296875,347.04998779296875,347.04998779296875,347.04998779296875,347.04998779296875,0,SWIGGY
2026-01-16,346.25,347.0,337.54998779296875,340.25,340.25,9816756,SWIGGY
2026-01-19,340.0,341.5,331.20001220703125,333.79998779296875,333.79998779296875,13552564,SWIGGY
2026-01-20,331.79998779296875,334.29998779296875,324.04998779296875,326.1000061035156,326.1000061035156,6863680,SWIGGY
2026-01-21,325.75,339.3999938964844,318.3999938964844,334.54998779296875,334.54998779296875,18958128,SWIGGY
2026-01-22,343.0,347.8500061035156,312.8999938964844,320.29998779296875,320.29998779296875,26797175,SWIGGY
2026-01-23,320.54998779296875,321.70001220703125,310.1499938964844,311.75,311.75,17199531,SWIGGY
2026-01-27,314.1000061035156,317.8999938964844,304.0,312.25,312.25,14294472,SWIGGY
2026-01-28,313.0,325.29998779296875,309.0,323.5,323.5,12888262,SWIGGY
2026-01-29,324.6000061035156,330.5,321.6499938964844,327.6499938964844,327.6499938964844,6541452,SWIGGY
2026-01-30,309.0,316.0,302.1000061035156,309.75,309.75,41695914,SWIGGY
2026-02-02,314.0,315.6000061035156,304.1000061035156,306.3999938964844,306.3999938964844,11554416,SWIGGY
2026-02-03,319.0,328.3500061035156,314.70001220703125,317.75,317.75,23083774,SWIGGY
2026-02-04,319.5,324.20001220703125,314.04998779296875,321.1000061035156,321.1000061035156,8826152,SWIGGY
2026-02-05,322.0,324.54998779296875,314.25,321.45001220703125,321.45001220703125,9503067,SWIGGY
2026-02-06,321.45001220703125,322.20001220703125,314.0,320.0,320.0,6151935,SWIGGY
2026-02-09,321.0,335.0,319.5,333.70001220703125,333.70001220703125,11280230,SWIGGY
2026-02-10,335.04998779296875,359.0,333.1000061035156,355.75,355.75,31081429,SWIGGY
2026-02-11,354.6000061035156,355.0,340.3999938964844,342.29998779296875,342.29998779296875,8093842,SWIGGY
2026-02-12,340.0,340.6000061035156,328.70001220703125,337.3500061035156,337.3500061035156,9457585,SWIGGY
2026-02-13,337.0,341.6499938964844,329.3500061035156,337.6499938964844,337.6499938964844,10114145,SWIGGY
2026-02-16,337.0,343.0,333.6499938964844,342.0,342.0,6962143,SWIGGY
2026-02-17,340.0,340.0,329.54998779296875,330.70001220703125,330.70001220703125,7661075,SWIGGY
2026-02-18,333.0,337.8500061035156,330.0,333.95001220703125,333.95001220703125,6014459,SWIGGY
2026-02-19,333.95001220703125,337.79998779296875,325.0,326.6499938964844,326.6499938964844,5700612,SWIGGY
2026-02-20,323.5,328.70001220703125,322.1499938964844,323.79998779296875,323.79998779296875,6453794,SWIGGY
2026-02-23,324.0,324.8999938964844,317.8999938964844,321.1000061035156,321.1000061035156,5744369,SWIGGY
2026-02-24,318.20001220703125,322.3500061035156,310.54998779296875,314.0,314.0,7337473,SWIGGY
2026-02-25,316.04998779296875,317.6000061035156,304.0,307.3999938964844,307.3999938964844,10518650,SWIGGY
2026-02-26,309.0,311.8999938964844,304.75,307.04998779296875,307.04998779296875,7865362,SWIGGY
2026-02-27,308.0,308.5,298.3500061035156,301.75,301.75,13686102,SWIGGY
2026-03-02,290.20001220703125,298.0,287.0,289.0,289.0,12154400,SWIGGY
2026-03-04,280.29998779296875,300.20001220703125,280.29998779296875,297.75,297.75,18441389,SWIGGY
2026-03-05,296.1000061035156,299.8500061035156,288.70001220703125,298.3999938964844,298.3999938964844,6170662,SWIGGY
2026-03-06,298.1000061035156,303.5,295.95001220703125,301.5,301.5,6599802,SWIGGY
2026-03-09,295.8500061035156,303.0,291.29998779296875,301.25,301.25,4796413,SWIGGY
2026-03-10,304.70001220703125,306.20001220703125,293.79998779296875,294.6499938964844,294.6499938964844,5969264,SWIGGY
